"№450516"|02.08.22|650.73
"№797887"|03.08.22|224.40
"№84436"|04.08.22|1,805.49
"№421172"|05.08.22|1,336.10
"№695643"|06.08.22|1,558.29
"№337814"|09.08.22|789.13
"№665510"|10.08.22|474.85
"№956689"|11.08.22|1,081.55
"№235690"|12.08.22|1,294.49
"№524629"|13.08.22|818.55
"№169638"|16.08.22|1,130.44
"№452605"|17.08.22|916.22
"№795043"|18.08.22|2,092.72
"№78021"|19.08.22|1,235.22
"№349107"|20.08.22|941.46
"№306939"|24.08.22|404.12
"№603195"|25.08.22|1,628.47
"№812341"|30.08.22|338.80
"№119510"|31.08.22|1,021.69
"№477772"|01.09.22|1,271.85
"№786252"|02.09.22|1,253.14
"№108576"|03.09.22|2,216.68
"№771352"|06.09.22|264.42
"№117046"|07.09.22|457.34
"№391585"|08.09.22|297.85
"№688095"|09.09.22|1,235.10
"№972038"|10.09.22|2,097.22
"№595398"|13.09.22|2,023.53
"№906088"|14.09.22|1,122.20
"№227414"|15.09.22|1,437.65
"№527660"|16.09.22|1,491.05
"№842115"|17.09.22|1,053.45
"№461606"|20.09.22|1,615.24
"№763807"|21.09.22|3,363.33
"№106075"|22.09.22|814.04
"№390344"|23.09.22|725.59
"№680069"|24.09.22|2,281.79
"№310432"|27.09.22|1,380.13
"№651239"|28.09.22|1,130.18
"№917714"|29.09.22|1,012.48
"№212613"|30.09.22|4,712.06
"№524198"|01.10.22|990.55
"№365783"|02.07.22|1,681.95
"№39587"|05.07.22|2,078.73
"№381080"|06.07.22|1,281.79
"№660995"|07.07.22|1,118.42
"№934367"|08.07.22|866.59
"№347173"|09.07.22|976.37
"№841403"|12.07.22|243.64
"№168783"|13.07.22|366.16
"№444126"|14.07.22|526.41
"№715412"|15.07.22|845.28
"№163251"|16.07.22|2,761.46
"№666347"|19.07.22|698.00
"№988952"|20.07.22|722.85
"№261295"|21.07.22|963.67
"№537930"|22.07.22|1,627.84
"№833614"|23.07.22|214.32
"№457533"|26.07.22|481.53
"№907646"|27.07.22|1,640.33
"№184164"|28.07.22|769.44
"№333196"|29.07.22|2,143.96
"№766227"|30.07.22|1,424.67
